School Name,State,Longitude,Latitude,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,1st,2nd,3rd,4th,5th
Adelphi University,NY,-73.653321,40.721439,"$40,600 ","$79,200 ","$44,200 ","$54,800 ","$114,000 ","$160,000 ",Nursing,Biology,Business Management,Psychology,Nutrition
"American University, Washington D.C.",DC,-77.088947,38.93694264,"$45,300 ","$90,800 ","$45,200 ","$62,400 ","$134,000 ","$169,000 ",International Relations,Business Management,Political Science,International Relations,Economics
Amherst College,MA,-72.518493,42.372459,"$54,500 ","$107,000 ",,"$84,900 ","$162,000 ",,Math,Economics,English,Psychology,Political Science
Appalachian State University,NC,-81.67752,36.2126825,"$40,400 ","$69,100 ","$37,200 ","$50,400 ","$90,800 ","$115,000 ",Psychology,Nutrition,Nursing,Business Management,Education
Arizona State University (ASU),AZ,-111.928001,33.424564,"$47,400 ","$84,100 ","$44,600 ","$60,700 ","$114,000 ","$163,000 ",Business Management,Psychology,Biology,Finance,Marketing
Arkansas State University (ASU),AR,-90.679586,35.841082,"$38,700 ","$63,300 ","$33,600 ","$45,300 ","$83,900 ","$118,000 ",Nursing,Business Management,Biology,Education,Nutrition
Auburn University,AL,-85.492409,32.600201,"$45,400 ","$84,700 ","$45,400 ","$62,700 ","$109,000 ","$145,000 ",Biology,Mechanical Engineering,Business Management,Nutrition,Finance
Austin Peay State University,TN,-87.354081,36.5333193,"$37,700 ","$59,200 ","$32,200 ","$40,500 ","$73,900 ","$96,200 ",Education,Nursing,Criminal Justice,Psychology,Business Management
Ball State University (BSU),IN,-85.408777,40.19996994,"$39,100 ","$64,500 ","$35,500 ","$48,200 ","$89,300 ","$128,000 ",Communications,Psychology,Nursing,Business Management,Education
Bates College,ME,-70.203333,44.10529918,"$47,300 ","$96,500 ",,"$60,700 ","$162,000 ",,Economics,Political Science,Psychology,Biology,Sociology
Baylor University,TX,-97.118453,31.54614957,"$48,300 ","$88,600 ","$46,300 ","$60,700 ","$130,000 ","$200,000 ",Biology,Nursing,Accounting,Marketing,Business Management 
Binghamton University,NY,-75.971143,42.088049,"$53,600 ","$95,900 ","$50,900 ","$71,200 ","$146,000 ","$201,000 ",Economics,Psychology,Biology,Accounting,Nursing
Black Hills State University,SD,-103.871756,44.49514137,"$35,300 ","$43,900 ","$27,000 ","$32,200 ","$60,900 ","$87,600 ",Business Management,Education,Biology,Sociology,Communications
Boise State University (BSU),ID,-116.205789,43.60440317,"$40,800 ","$69,500 ","$37,400 ","$48,700 ","$87,500 ","$110,000 ",Business Management,Nursing,Communications,Health Care Administration,Psychology
Boston College,MA,-71.169242,42.33620322,"$52,700 ","$103,000 ","$48,900 ","$70,000 ","$143,000 ","$195,000 ",Economics,Finance,Psychology,Communications,Biology
Boston University,MA,-71.09984,42.349581,"$49,000 ","$93,900 ","$48,000 ","$64,900 ","$130,000 ","$193,000 ",Business Management,Communications,Economics,Psychology,International Relations
Bowdoin College,ME,-69.963942,43.907134,"$48,100 ","$107,000 ",,"$74,600 ","$146,000 ",,Political Science,Economics,Math,Biology,Computer Science
Bowling Green State University,OH,-83.637531,41.377036,"$39,800 ","$72,100 ","$38,200 ","$51,800 ","$101,000 ","$146,000 ",Education,Biology,Psychology,English,Accounting
Bradley University,IL,-89.616847,40.69823294,"$47,000 ","$87,300 ","$45,900 ","$64,900 ","$113,000 ","$151,000 ",Nursing,Mechanical Engineering,Accounting,Business Management,Civil Engineering
Brigham Young University (BYU),UT,-111.6493,40.2518,"$49,400 ","$88,600 ","$50,600 ","$68,500 ","$119,000 ","$164,000 ",Psychology,Nutrition,Accounting,Economics,Education
Brown University,RI,-71.402925,41.82685309,"$56,200 ","$109,000 ","$55,400 ","$74,400 ","$159,000 ","$228,000 ",Computer Science,Economics,Biology,Math,Political Science
Bucknell University,PA,-76.885192,40.95370378,"$54,100 ","$110,000 ","$62,800 ","$80,600 ","$156,000 ","$251,000 ",Economics,Political Science,Psychology,Accounting,Biology
Cal Poly San Luis Obispo,CA,-120.661597,35.30237596,"$57,200 ","$101,000 ","$55,000 ","$74,700 ","$133,000 ","$178,000 ",Business Management,Mechanical Engineering,Biology,Civil Engineering,Computer Science 
California Institute of Technology (CIT),CA,-118.125567,34.13918094,"$75,500 ","$123,000 ",,"$104,000 ","$161,000 ",,Computer Science,Physics ,Electrical Engineering,Chemical Engineering,Mechanical Engineering 
"California State University (CSU), Chico",CA,-121.846333,39.728003,"$47,400 ","$88,100 ","$46,800 ","$62,800 ","$122,000 ","$154,000 ",Business Management,Communications,Psychology,Health Care Administration,Education
"California State University (CSU), Stanislaus",CA,-120.852511,37.52577,"$38,000 ","$71,400 ","$33,700 ","$50,500 ","$94,100 ","$121,000 ",Business Management,Psychology,Criminal Justice,Sociology,Education
"California State University, Dominguez Hills (CSUDH)",CA,-118.258948,33.86528236,"$42,700 ","$72,100 ","$30,800 ","$47,000 ","$92,200 ","$132,000 ",Business Management,Psychology,Sociology,Criminal Justice,Health Care Administration
"California State University, East Bay (CSUEB)",CA,-122.058073,37.65707038,"$49,200 ","$84,300 ","$46,000 ","$62,400 ","$115,000 ","$155,000 ",Business Management,Health Care Administration,Criminal Justice,Psychology,Sociology
"California State University, Fullerton (CSUF)",CA,-117.885659,33.88326053,"$45,700 ","$87,000 ","$45,400 ","$62,500 ","$119,000 ","$158,000 ",Business Management,Communications,Psychology,Health Care Administration,Education
"California State University, Long Beach (CSULB)",CA,-118.11204,33.78281817,"$45,100 ","$84,700 ","$47,400 ","$62,500 ","$113,000 ","$154,000 ",Business Management,Psychology,Communications,Sociology,Education
"California State University, Northridge (CSUN)",CA,-118.529286,34.2400409,"$45,500 ","$80,400 ","$44,500 ","$57,800 ","$108,000 ","$153,000 ",Psychology,Business Management,Sociology,Education,Film
"California State University, Sacramento (CSUS)",CA,-121.422416,38.55990059,"$47,800 ","$82,400 ","$42,900 ","$59,600 ","$111,000 ","$154,000 ",Business Management,Communications,Psychology,Criminal Justice,Education
Carleton College,MN,-93.154662,44.46230352,"$47,500 ","$103,000 ",,"$69,400 ","$141,000 ",,Computer Science,Biology,International Relations,Economics,Math
Carnegie Mellon University (CMU),PA,-79.943485,40.44359759,"$61,800 ","$111,000 ","$63,300 ","$80,100 ","$150,000 ","$209,000 ",Computer Science,Electrical Engineering,Math,Business Management,Mechanical Engineering
Case Western Reserve University,OH,-81.604893,41.50409549,"$56,200 ","$96,500 ","$54,900 ","$76,500 ","$123,000 ","$168,000 ",Biology,Mechanical Engineering,Computer Science,Nursing,Psychology
Clemson University,SC,-82.834463,34.677329,"$48,400 ","$86,000 ","$50,500 ","$61,800 ","$111,000 ","$150,000 ",Industrial Engineering,Business Management,Marketing,Biology,Psychology
Cleveland State University,OH,-81.674355,41.50228136,"$43,500 ","$73,100 ","$39,500 ","$51,600 ","$97,000 ","$137,000 ",Psychology,Nursing,Business Management,Biology,Mechanical Engineering 
Colby College,ME,-69.66337,44.56421114,"$46,400 ","$85,800 ",,"$63,500 ","$129,000 ",,Economics,Political Science,Math,Biology,Psychology
Colgate University,NY,-75.535218,42.8181753,"$52,800 ","$108,000 ","$60,000 ","$76,700 ","$167,000 ","$265,000 ",Economics,Political Science,Psychology,English,Biology
College of the Holy Cross,MA,-71.808627,42.23894237,"$50,200 ","$106,000 ",,"$65,600 ","$143,000 ",,Economics,Psychology,Political Science,History,English
Colorado College (CC),CO,-104.822678,38.84885428,"$38,500 ","$81,400 ",,"$43,000 ","$148,000 ",,Economics,Political Science,Biology,Sociology,Physics
Colorado School of Mines,CO,-105.222907,39.74909154,"$58,100 ","$106,000 ","$62,200 ","$87,900 ","$142,000 ","$201,000 ",Mechanical Engineering,Computer Science ,Chemical Engineering,Physics ,Electrical Engineering
Colorado State University (CSU),CO,-105.0865,40.5734,"$44,800 ","$79,000 ","$43,800 ","$57,100 ","$112,000 ","$150,000 ",Business Management,Nutrition,Psychology,Mechanical Engineering,Communications
Columbia University,NY,-73.961885,40.80828575,"$59,400 ","$107,000 ","$50,300 ","$71,900 ","$161,000 ","$241,000 ",Economics,Computer Science,Political Science,Psychology,History
Cooper Union,NY,-73.990516,40.72937982,"$62,200 ","$114,000 ",,"$80,200 ","$142,000 ",,Graphic Design,Mechanical Engineering,Electrical Engineering,Chemical Engineering,Architecture
Cornell University,NY,-76.476535,42.448713,"$60,300 ","$110,000 ","$56,800 ","$79,800 ","$160,000 ","$210,000 ",Biology,Computer Science,Business Management,Hospitality & Tourism,Agriculture
Dallas Baptist University,TX,-96.946994,32.71010015,"$39,400 ","$60,200 ","$38,500 ","$50,300 ","$81,800 ","$98,100 ",Business Management,Biology,Psychology,Education,Finance
Dartmouth College,NH,-71.9887,43.7044,"$58,000 ","$134,000 ","$63,100 ","$90,200 ","$234,000 ","$321,000 ",Economics,Political Science,Computer Science,Biology,History
Davenport University,MI,-85.529655,42.84971259,"$39,700 ","$46,600 ","$31,600 ","$38,100 ","$65,600 ","$85,700 ",Nutrition,Business Management,Criminal Justice,Health Care Administration,Nursing
Davidson College,NC,-80.845236,35.50000638,"$46,100 ","$104,000 ",,"$70,500 ","$146,000 ",,Political Science ,Economics,Biology,English,Psychology
Denison University,OH,-82.520625,40.0725823,"$42,000 ","$83,500 ",,"$62,100 ","$122,000 ",,Accounting,Finance,International Relations,Psychology,Marketing
DePaul University,IL,-87.654116,41.92333183,"$46,400 ","$84,800 ","$50,300 ","$63,900 ","$115,000 ","$160,000 ",Economics,Communications,English,Computer Science,Biology
DePauw University,IN,-86.863556,39.63953025,"$41,400 ","$88,300 ","$49,500 ","$57,400 ","$133,000 ","$185,000 ",Economics,Communications,Biology,Psychology,History
Dowling College,NY,-73.14491,40.73991,"$41,100 ","$82,800 ","$46,500 ","$60,600 ","$117,000 ","$142,000 ",Communications,Computer Science,Education,English,Math
Drexel University,PA,-75.188745,39.95485501,"$53,400 ","$93,500 ","$54,900 ","$72,500 ","$122,000 ","$161,000 ",Nursing,Accounting,Mechanical Engineering,Marketing,Management Information Systems (MIS)
Duke University,NC,-78.938597,36.00234351,"$58,900 ","$106,000 ","$56,000 ","$77,400 ","$149,000 ","$218,000 ",Computer Science,Economics,International Relations,Biology,Psychology
Duquesne University,PA,-79.993046,40.437496,"$40,700 ","$84,400 ","$42,600 ","$59,500 ","$107,000 ","$131,000 ",Nursing,Marketing,Biology,Finance,Accounting
East Carolina University (ECU),NC,-77.366199,35.606347,"$40,200 ","$67,500 ","$38,400 ","$52,000 ","$98,700 ","$151,000 ",Communications,Nursing,Education,Business Management,Criminal Justice
Eastern Michigan University,MI,-83.625156,42.250277,"$40,300 ","$72,100 ","$37,900 ","$52,800 ","$95,400 ","$135,000 ",Nursing,Psychology,Business Management,Communications,Education
Eastern Washington University,WA,-117.589371,47.49129315,"$38,600 ","$70,900 ","$36,000 ","$50,500 ","$93,100 ","$117,000 ",Business Management,Biology,Psychology,Communications,Criminal Justice
Embry-Riddle Aeronautical University (ERAU),FL,-81.04951,29.18926994,"$52,700 ","$80,700 ","$49,800 ","$64,000 ","$106,000 ","$142,000 ",Business Management,Nursing,Biology,Economics,Psychology
Emory University,GA,-84.325818,33.79326806,"$52,000 ","$91,600 ","$52,500 ","$63,300 ","$128,000 ","$192,000 ",Biology,Business Management,Film ,Psychology,English
Evergreen State College,WA,-122.977492,47.07381966,"$39,500 ","$63,900 ","$38,800 ","$47,200 ","$91,600 ","$120,000 ",Psychology,Nursing,Criminal Justice,Business Management,Biology
Fairleigh Dickinson University,NJ,-74.435359,40.77736403,"$45,700 ","$78,700 ","$40,200 ","$56,300 ","$112,000 ","$171,000 ",Business Management,Marketing,Graphic Design,Interior Design,Art History
Fashion Institute of Technology,NY,-73.994781,40.74730956,"$42,800 ","$81,000 ","$38,800 ","$60,500 ","$106,000 ","$138,000 ",Business Management,Nursing,Film,Biology,Psychology
Fitchburg State College,MA,-71.789354,42.58934514,"$42,400 ","$72,600 ","$43,300 ","$56,100 ","$99,600 ","$151,000 ",Psychology,Biology,Criminal Justice,Business Management,Accounting
Florida Atlantic University (FAU),FL,-80.102978,26.37242138,"$42,600 ","$71,100 ","$40,700 ","$53,000 ","$99,500 ","$137,000 ",Psychology,Communications,Biology,Hospitality & Tourism,Finance
Florida International University (FIU),FL,-80.377591,25.75711094,"$43,200 ","$75,500 ","$40,500 ","$55,800 ","$98,200 ","$136,000 ",Accounting,Business Management,Criminal Justice,Computer Science,International Relations
Florida Metropolitan University (FMU),FL,-80.11431,26.13869,"$36,600 ","$51,000 ","$32,800 ","$36,800 ","$70,400 ","$102,000 ",Psychology,Finance,Marketing,Criminal Justice,English
Florida State University (FSU),FL,-84.301554,30.443222,"$42,100 ","$73,000 ","$39,600 ","$52,800 ","$107,000 ","$156,000 ",Communications,Economics,Business Management,Finance,Psychology
Fordham University,NY,-73.889899,40.8614117,"$47,800 ","$99,900 ","$48,600 ","$65,900 ","$142,000 ","$198,000 ",Business Management,Nutrition,Biology,Psychology,Art History
Fort Lewis College,CO,-107.867003,37.27542817,"$42,000 ","$69,800 ",,"$55,000 ","$94,000 ",,Business Management,Political Science,Economics,Psychology,Biology
Franklin and Marshall College,PA,-76.319037,40.048045,"$49,100 ","$92,800 ",,"$55,800 ","$185,000 ",,Psychology,Criminal Justice,Accounting,Information Technology (IT),Biology
George Mason University,VA,-77.30794,38.83088029,"$47,800 ","$86,900 ","$51,300 ","$67,200 ","$114,000 ","$150,000 ",International Relations,Political Science,Nursing,Economics,Finance
George Washington University (GWU),DC,-77.046277,38.8990964,"$47,000 ","$97,900 ","$48,400 ","$69,600 ","$132,000 ","$194,000 ",Political Science ,International Relations,Finance,Economics,Psychology
Georgetown University,DC,-77.073463,38.90880927,"$55,000 ","$110,000 ","$60,300 ","$85,800 ","$174,000 ","$248,000 ",Information Technology (IT),Mechanical Engineering,Business Management,Industrial Engineering,Chemical Engineering
Georgia Institute of Technology,GA,-84.396019,33.77373183,"$58,300 ","$106,000 ","$67,200 ","$85,200 ","$137,000 ","$183,000 ",Psychology,Finance,Biology,Marketing,Journalism
Georgia State University,GA,-84.38667,33.75269954,"$41,800 ","$74,000 ","$43,000 ","$55,300 ","$99,900 ","$145,000 ",Economics,Political Science,Business Management,Nutrition,Psychology
Gettysburg College,PA,-77.234533,39.83584149,"$44,700 ","$85,800 ",,"$66,300 ","$132,000 ",,Business Management,Biology,Mechanical Engineering ,Psychology,Accounting
Gonzaga University,WA,-117.403062,47.668144,"$44,900 ","$76,000 ","$47,000 ","$57,400 ","$103,000 ","$138,000 ",Economics,Computer Science ,Political Science,Biology,Psychology
Grinnell College,IA,-92.721432,41.74636255,"$42,600 ","$76,600 ",,"$65,100 ","$116,000 ",,Psychology,Business Management,Biology,Economics,Political Science 
Gustavus Adolphus College,MN,-93.971928,44.324968,"$44,500 ","$80,600 ",,"$49,300 ","$101,000 ",,Economics,Math,Political Science,International Relations,Biology
Hamilton College,NY,-75.407996,43.05424753,"$49,200 ","$83,700 ",,"$51,900 ","$123,000 ",,Economics,Computer Science,Political Science,History,Sociology
Harvard University,MA,-71.118234,42.37417202,"$63,400 ","$124,000 ","$54,800 ","$86,200 ","$179,000 ","$288,000 ",Mechanical Engineering,Computer Science,Physics,Math,Chemistry
Harvey Mudd College,CA,-117.709758,34.10571676,"$71,800 ","$122,000 ",,"$96,000 ","$180,000 ",,Drama,Psychology,Marketing,Business Management,Finance
Hofstra University,NY,-73.60078,40.71595869,"$46,800 ","$92,700 ","$48,900 ","$67,000 ","$135,000 ","$189,000 ",Biology,International Relations,Political Science,Communications,Psychology
Howard University,DC,-77.019478,38.92073881,"$46,900 ","$81,800 ","$43,300 ","$60,000 ","$109,000 ","$138,000 ",Biology,Business Management,Psychology,Education,Forestry
Humboldt State University,CA,-124.077255,40.87545198,"$42,600 ","$71,300 ","$36,000 ","$56,300 ","$94,400 ","$117,000 ",Nursing,Business Management,Health Care Administration,Education,Psychology
Idaho State University,ID,-112.429084,42.86410777,"$44,900 ","$73,400 ","$35,400 ","$49,600 ","$101,000 ","$143,000 ",Architecture,Mechanical Engineering,Electrical Engineering,Computer Science,Information Technology (IT)
Illinois Institute of Technology (IIT),IL,-87.628346,41.83380065,"$56,000 ","$97,800 ","$56,100 ","$77,400 ","$121,000 ","$165,000 ",Finance,Marketing,Agriculture,Accounting,Management Information Systems (MIS)
Illinois State University,IL,-88.99234,40.50972361,"$42,000 ","$73,400 ","$39,100 ","$55,200 ","$105,000 ","$142,000 ",Business Management,Management Information Systems (MIS),Computer Science,Nutrition,Biology
"Indiana University (IU), Bloomington",IN,-86.523585,39.16773929,"$46,300 ","$84,000 ","$43,600 ","$60,400 ","$119,000 ","$178,000 ",Nursing,Liberal Arts,Business Management,Religion,Education
Indiana Wesleyan University (IWU),IN,-85.677881,40.5112,"$39,800 ","$58,500 ","$39,600 ","$47,800 ","$78,600 ","$93,400 ",Mechanical Engineering,Agriculture,Nutrition,Marketing,Finance
Iowa State University,IA,-93.65024,42.025303,"$45,400 ","$84,600 ","$44,400 ","$60,000 ","$109,000 ","$147,000 ",Business Management,Drama,Film,Journalism,Communications
Ithaca College,NY,-76.495057,42.42263969,"$42,700 ","$87,400 ","$50,200 ","$62,400 ","$128,000 ","$174,000 ",Nursing,Nutrition,Management Information Systems (MIS),Business Management,Sociology
Jacksonville University,FL,-81.606507,30.35084316,"$46,700 ","$66,200 ","$36,700 ","$47,200 ","$88,500 ","$121,000 ",Nursing,Business Management,Communications,Psychology,Accounting
Juniata College,PA,-78.015158,40.49949291,"$41,800 ","$78,900 ",,"$67,200 ","$110,000 ",,Business Management,Mechanical Engineering,Finance,Marketing,Education
Kansas State University (KSU),KS,-96.581077,39.188616,"$43,300 ","$79,000 ","$37,200 ","$54,100 ","$106,000 ","$138,000 ",Nursing,Psychology,Business Management,Marketing,Communications
Kent State University,OH,-81.337128,41.151603,"$38,700 ","$62,600 ","$36,100 ","$45,800 ","$87,000 ","$124,000 ",Nursing,Psychology,Marketing,Communications,Finance
La Salle University (Philadelphia),PA,-75.151926,40.03867306,"$43,400 ","$84,700 ","$45,300 ","$57,500 ","$106,000 ","$151,000 ",Economics,Political Science,Mechanical Engineering,Psychology,International Relations
Lafayette College,PA,-75.211342,40.69951263,"$53,900 ","$107,000 ","$70,600 ","$79,300 ","$144,000 ","$204,000 ",Nursing,Business Management,Criminal Justice,Mechanical Engineering,Chemical Engineering
Lamar University,TX,-94.073389,30.044274,"$46,500 ","$79,400 ","$38,700 ","$51,600 ","$114,000 ","$158,000 ",Business Management,Education,Mechanical Engineering ,Aerospace Engineering,Civil Engineering
"Lee University (Cleveland, TN)",TN,-84.870018,35.16616609,"$34,500 ","$53,900 ",,"$44,500 ","$76,800 ",,Business Management,Psychology,Religion,Nutrition,Communications
Lehigh University,PA,-75.377095,40.6066257,"$59,200 ","$105,000 ","$69,500 ","$85,000 ","$160,000 ","$229,000 ",Finance,Mechanical Engineering,Computer Science,Accounting,Marketing
LeTourneau University,TX,-94.72726,32.46765824,"$49,500 ","$73,800 ","$41,200 ","$52,700 ","$95,200 ","$126,000 ",Psychology,Biology,International Relations,English,Sociology
Lewis & Clark College,OR,-122.670337,45.45153924,"$38,900 ","$72,600 ","$38,200 ","$53,400 ","$104,000 ","$140,000 ",Nursing,Business Management,Nutrition,Psychology,Biology
Long Island University,NY,-73.5901,40.8172,"$47,300 ","$93,200 ","$46,300 ","$62,100 ","$122,000 ","$169,000 ",Communications,Biology,Education,Business Management,Marketing
Louisiana State University (LSU),LA,-91.18,30.4133,"$46,900 ","$87,800 ","$43,700 ","$61,300 ","$120,000 ","$165,000 ",Finance,Nursing,Biology,Marketing,Psychology
